date,restaurant,spa,beauty salon
2024-02-18,78,21,1
2024-02-25,81,20,1
2024-03-03,81,21,1
2024-03-10,77,20,1
2024-03-17,75,20,1
2024-03-24,79,20,1
2024-03-31,73,18,1
2024-04-07,75,19,1
2024-04-14,77,19,1
2024-04-21,78,21,1
2024-04-28,77,22,1
2024-05-05,83,24,1
2024-05-12,83,23,1
2024-05-19,76,22,1
2024-05-26,78,22,1
2024-06-02,77,21,1
2024-06-09,86,22,1
2024-06-16,82,22,1
