date,restaurant,spa,beauty salon
2024-02-18,78,23,1
2024-02-25,75,22,1
2024-03-03,73,22,1
2024-03-10,79,23,1
2024-03-17,76,23,1
2024-03-24,77,23,1
2024-03-31,77,23,1
2024-04-07,75,21,1
2024-04-14,76,22,1
2024-04-21,78,23,1
2024-04-28,75,23,1
2024-05-05,82,28,1
2024-05-12,78,24,1
2024-05-19,75,23,1
2024-05-26,78,22,1
2024-06-02,79,23,1
2024-06-09,80,23,1
2024-06-16,77,23,1
