date,restaurant,spa,beauty salon
2024-02-18,79,17,1
2024-02-25,73,17,1
2024-03-03,71,16,1
2024-03-10,78,16,1
2024-03-17,78,16,1
2024-03-24,80,17,1
2024-03-31,74,16,1
2024-04-07,69,16,1
2024-04-14,73,18,1
2024-04-21,71,17,1
2024-04-28,69,16,1
2024-05-05,76,21,1
2024-05-12,71,19,1
2024-05-19,73,17,1
2024-05-26,70,18,1
2024-06-02,70,19,1
2024-06-09,72,19,1
2024-06-16,69,18,1
